frequency,exposure,duty_cycle,camera,affected_rows_mean,affected_rows_std,affected_rows_99ci,affected_rows_95ci
25Hz,Exposure 75,15.0,Axis,313.02739726027403,33.78131630919539,10.53357647136752,7.936309983516184
25Hz,Exposure 32,0.1,Axis,18.697478991596643,2.6868951243438053,0.6475928804500262,0.4898178560883638
25Hz,Exposure 32,30.0,Axis,617.0625,1.8864235340983213,1.4352626991809911,1.0381703779913296
25Hz,Exposure 32,25.0,Axis,517.34375,2.813020785116953,1.3863817595691326,1.0304304101911501
25Hz,Exposure 32,0.3,Axis,21.322580645161292,2.7955851920621204,0.6595123781201635,0.4989559768700508
25Hz,Exposure 32,15.0,Axis,317.5,3.104656001699526,0.9752497504013876,0.7346781637398899
25Hz,Exposure 32,10.0,Axis,217.23076923076923,3.016718700173473,0.8368115953670527,0.6317427797071316
25Hz,Exposure 32,5.0,Axis,117.27777777777777,3.5324771848843404,0.8955975812746989,0.6769788839282898
25Hz,Exposure 32,0.7,Axis,29.14893617021277,3.7043891356424994,1.0101518009115906,0.7628006082470942
25Hz,Exposure 32,0.9,Axis,33.78625954198473,2.8766170589131814,0.6595464759525503,0.4991374746369831
25Hz,Exposure 32,0.4,Axis,22.55284552845529,2.9964837171584047,0.7098895545706424,0.5370434513694787
25Hz,Exposure 32,1.0,Axis,35.149253731343286,3.1939949781887624,0.7237652977006892,0.5478052508179202
25Hz,Exposure 32,0.8,Axis,30.532258064516128,2.5445561241376806,0.6002915831201675,0.4541523149517293
25Hz,Exposure 32,20.0,Axis,410.22222222222223,54.09513795728119,19.853081382419585,14.903773140485976
25Hz,Exposure 32,0.6,Axis,25.809523809523807,2.762315240432986,0.6462665932477912,0.4889801871064482
25Hz,Exposure 32,0.5,Axis,24.165137614678894,3.0874524442881865,0.7790063040809958,0.5888844156248461
25Hz,Exposure 32,0.2,Axis,20.166666666666668,2.91070819942883,0.6984859365551764,0.5283385321231988
