video_name,video_dataset,previous_frame,current_frame,frequency,exposure,duty_cycle,pattern_id,ssim,ms_ssim,uqi
b1d22ed6-f1cac061.mov,BDD100K,500,501,0,0,0,-1,0.7812957436105252,0.8501914744806864,0.9843264510787445
b1d22ed6-f1cac061.mov,BDD100K,600,601,0,0,0,-1,0.6448018754412709,0.7723330587383835,0.9353348642083844
b1d22ed6-f1cac061.mov,BDD100K,700,701,0,0,0,-1,0.7286506911341134,0.7856598706762996,0.9623015722935818
b1d22ed6-f1cac061.mov,BDD100K,800,801,0,0,0,-1,0.7172712638897877,0.8137909388399648,0.9582699524179544
b1d22ed6-f1cac061.mov,BDD100K,900,901,0,0,0,-1,0.6020691192301914,0.7345836251541342,0.9473808902093306
b1d22ed6-f1cac061.mov,BDD100K,1000,1001,0,0,0,-1,0.6828193897357613,0.7676453503544872,0.9439339647253743
b1d22ed6-f1cac061.mov,BDD100K,1100,1101,0,0,0,-1,0.7542983107252107,0.8589663719298015,0.878072599107806
b1d22ed6-f1cac061.mov,BDD100K,1200,1201,0,0,0,-1,0.6965525956288717,0.8014220211469945,0.9581496815665016
VIRAT_S_010207_10_001549_001596.mp4,VIRAT,0,1,0,0,0,-1,0.9919634017329452,0.9972960545385652,0.9993985627606303
VIRAT_S_010207_10_001549_001596.mp4,VIRAT,100,101,0,0,0,-1,0.9973191424771013,0.9990783617363875,0.9996919397700049
VIRAT_S_010207_10_001549_001596.mp4,VIRAT,200,201,0,0,0,-1,0.9936341020733851,0.9986095979131253,0.9997993774005091
VIRAT_S_010207_10_001549_001596.mp4,VIRAT,300,301,0,0,0,-1,0.9984926110029493,0.9994559907257837,0.9999052883472571
VIRAT_S_010207_10_001549_001596.mp4,VIRAT,400,401,0,0,0,-1,0.9957753629631633,0.9988104887170567,0.9997788847741939
VIRAT_S_010207_10_001549_001596.mp4,VIRAT,500,501,0,0,0,-1,0.9993174525974001,0.9997353443965329,0.9999502338878546
VIRAT_S_010207_10_001549_001596.mp4,VIRAT,600,601,0,0,0,-1,0.9953312855979952,0.9988677545253989,0.999879481845106
VIRAT_S_010207_10_001549_001596.mp4,VIRAT,700,701,0,0,0,-1,0.9961385001628358,0.9989187381724679,0.9998172625225816
VIRAT_S_010207_10_001549_001596.mp4,VIRAT,800,801,0,0,0,-1,0.9982473598815617,0.9992410691318677,0.9999211278614314
VIRAT_S_010207_10_001549_001596.mp4,VIRAT,900,901,0,0,0,-1,0.9969651378363903,0.998458805087739,0.9996208409181447
VIRAT_S_010207_10_001549_001596.mp4,VIRAT,1000,1001,0,0,0,-1,0.9875583185585439,0.9960668497781857,0.9992364375091521
