frequency,exposure,duty_cycle,video_name,pattern_id,model,unaltered,hidden,misplaced,appeared
25,32,5.0,b1e1a7b8-b397c445,640,ssd_inception_v2_coco_2018_01_28,152,118,22,2
25,32,5.0,b1e1a7b8-b397c445,680,ssd_inception_v2_coco_2018_01_28,291,1,0,2
25,32,10.0,b1e1a7b8-b397c445,260,faster_rcnn_inception_v2_coco_2018_01_28,443,5,2,1
25,32,10.0,b1e1a7b8-b397c445,420,faster_rcnn_inception_v2_coco_2018_01_28,446,2,2,3
25,32,10.0,b1e1a7b8-b397c445,500,faster_rcnn_inception_v2_coco_2018_01_28,437,10,3,9
25,32,10.0,b1e1a7b8-b397c445,660,faster_rcnn_inception_v2_coco_2018_01_28,447,2,1,1
25,32,10.0,b1e1a7b8-b397c445,680,faster_rcnn_inception_v2_coco_2018_01_28,428,13,9,3
25,32,10.0,b1e1a7b8-b397c445,740,faster_rcnn_inception_v2_coco_2018_01_28,432,9,9,8
25,32,10.0,b1e1a7b8-b397c445,260,ssd_inception_v2_coco_2018_01_28,292,0,0,2
25,32,10.0,b1e1a7b8-b397c445,420,ssd_inception_v2_coco_2018_01_28,290,2,0,1
25,32,10.0,b1e1a7b8-b397c445,500,ssd_inception_v2_coco_2018_01_28,292,0,0,4
25,32,10.0,b1e1a7b8-b397c445,660,ssd_inception_v2_coco_2018_01_28,290,2,0,0
25,32,10.0,b1e1a7b8-b397c445,680,ssd_inception_v2_coco_2018_01_28,276,9,7,2
25,32,10.0,b1e1a7b8-b397c445,740,ssd_inception_v2_coco_2018_01_28,288,3,1,3
25,32,15.0,b1e1a7b8-b397c445,300,faster_rcnn_inception_v2_coco_2018_01_28,420,18,12,18
25,32,15.0,b1e1a7b8-b397c445,460,faster_rcnn_inception_v2_coco_2018_01_28,446,3,1,1
25,32,15.0,b1e1a7b8-b397c445,480,faster_rcnn_inception_v2_coco_2018_01_28,427,14,9,12
25,32,15.0,b1e1a7b8-b397c445,540,faster_rcnn_inception_v2_coco_2018_01_28,417,12,21,29
25,32,15.0,b1e1a7b8-b397c445,560,faster_rcnn_inception_v2_coco_2018_01_28,446,2,2,6
25,32,15.0,b1e1a7b8-b397c445,740,faster_rcnn_inception_v2_coco_2018_01_28,351,68,31,24
25,32,15.0,b1e1a7b8-b397c445,300,ssd_inception_v2_coco_2018_01_28,272,16,4,7
25,32,15.0,b1e1a7b8-b397c445,460,ssd_inception_v2_coco_2018_01_28,291,1,0,0
25,32,15.0,b1e1a7b8-b397c445,480,ssd_inception_v2_coco_2018_01_28,266,19,7,9
25,32,15.0,b1e1a7b8-b397c445,540,ssd_inception_v2_coco_2018_01_28,276,11,5,6
25,32,15.0,b1e1a7b8-b397c445,560,ssd_inception_v2_coco_2018_01_28,291,1,0,2
25,32,15.0,b1e1a7b8-b397c445,740,ssd_inception_v2_coco_2018_01_28,210,72,10,9
25,32,20.0,b1e1a7b8-b397c445,380,faster_rcnn_inception_v2_coco_2018_01_28,370,40,40,7
25,32,20.0,b1e1a7b8-b397c445,400,faster_rcnn_inception_v2_coco_2018_01_28,351,61,38,30
25,32,20.0,b1e1a7b8-b397c445,440,faster_rcnn_inception_v2_coco_2018_01_28,391,32,27,22
25,32,20.0,b1e1a7b8-b397c445,600,faster_rcnn_inception_v2_coco_2018_01_28,446,2,2,0
25,32,20.0,b1e1a7b8-b397c445,660,faster_rcnn_inception_v2_coco_2018_01_28,357,57,36,32
25,32,20.0,b1e1a7b8-b397c445,680,faster_rcnn_inception_v2_coco_2018_01_28,398,31,21,22
